confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.057	45.033111572265625	0.2142245173454284	0.057	44.93392181396485	0.2134016305208206	0.057	44.88448715209961	0.2132196277379989	0.057	44.59016418457031	0.2128565460443496	0.057	44.07327651977539	0.2125850468873977	0.057	42.383419036865234	0.2124044150114059	0.057	41.396759033203125	0.2121340781450271	0.057	41.06425476074219	0.2115059196949005	0.057	40.43392562866211	0.2093802392482757
0.058	45.14348983764648	0.2142245173454284	0.058	45.04405212402344	0.2134016305208206	0.058	44.99449920654297	0.2132196277379989	0.058	44.69945526123047	0.2128565460443496	0.058	44.181034088134766	0.2125850468873977	0.058	42.48704528808594	0.2124044150114059	0.058	41.49797439575195	0.2121340781450271	0.058	41.16465759277344	0.2115059196949005	0.058	40.53254318237305	0.2093802392482757
0.059	45.25386428833008	0.2570694088935852	0.059	45.15418243408203	0.2560819387435913	0.059	45.10451126098633	0.2558635175228119	0.059	44.80874252319336	0.2554278373718261	0.059	44.28879165649414	0.2551020383834839	0.059	42.69430160522461	0.2548852860927582	0.059	41.70040512084961	0.2545608878135681	0.059	41.36546325683594	0.2538070976734161	0.059	40.72978210449219	0.2512562870979309
0.06	45.25386428833008	0.2570694088935852	0.06	45.15418243408203	0.2560819387435913	0.06	45.10451126098633	0.2558635175228119	0.06	44.80874252319336	0.2554278373718261	0.06	44.28879165649414	0.2551020383834839	0.06	42.69430160522461	0.2548852860927582	0.06	41.70040512084961	0.2545608878135681	0.06	41.36546325683594	0.2538070976734161	0.06	40.72978210449219	0.2512562870979309
0.061	45.47461318969727	0.2999143302440643	0.061	45.37445068359375	0.2987622618675232	0.061	45.32453155517578	0.2985074520111084	0.061	45.027320861816406	0.2979991436004638	0.061	44.50431060791016	0.2976190447807312	0.061	42.901554107666016	0.2973661720752716	0.061	41.90283584594727	0.2969876825809479	0.061	41.56626510620117	0.2961082756519317	0.061	41.02564239501953	0.293132334947586
0.062	45.69536590576172	0.2999143302440643	0.062	45.59471130371094	0.2987622618675232	0.062	45.5445556640625	0.2985074520111084	0.062	45.24589920043945	0.2979991436004638	0.062	44.82758712768555	0.2976190447807312	0.062	43.212432861328125	0.2973661720752716	0.062	42.20647811889648	0.2969876825809479	0.062	41.867469787597656	0.2961082756519317	0.062	41.32149887084961	0.293132334947586
0.063	45.916114807128906	0.342759221792221	0.063	45.814979553222656	0.3414425849914551	0.063	45.76457595825195	0.3411513864994049	0.063	45.464481353759766	0.3405704498291015	0.063	45.04310607910156	0.3401360511779785	0.063	43.4196891784668	0.339847058057785	0.063	42.40890884399414	0.33941450715065	0.063	42.06827163696289	0.3384094834327698	0.063	41.51873779296875	0.3350083827972412
0.064	46.136863708496094	0.4284490346908569	0.064	46.03524017333984	0.4268032610416412	0.064	45.98460006713867	0.4264392554759979	0.064	45.68305969238281	0.4257130920886993	0.064	45.25862121582031	0.4251700937747955	0.064	43.6269416809082	0.4248088300228119	0.064	42.61133575439453	0.4242681562900543	0.064	42.269073486328125	0.423011839389801	0.064	41.71597671508789	0.4187604784965515
0.065	46.24724197387695	0.4712939262390136	0.065	46.1453742980957	0.4694835841655731	0.065	46.094608306884766	0.469083160161972	0.065	45.79235076904297	0.4682843685150146	0.065	45.36637878417969	0.467687040567398	0.065	43.730567932128906	0.4672897160053253	0.065	42.71255111694336	0.4666949510574341	0.065	42.36948013305664	0.4653130173683166	0.065	41.81459426879883	0.4606365263462066
0.066	46.24724197387695	0.4712939262390136	0.066	46.1453742980957	0.4694835841655731	0.066	46.094608306884766	0.469083160161972	0.066	45.79235076904297	0.4682843685150146	0.066	45.36637878417969	0.467687040567398	0.066	43.730567932128906	0.4672897160053253	0.066	42.71255111694336	0.4666949510574341	0.066	42.36948013305664	0.4653130173683166	0.066	41.91321563720703	0.4606365263462066
